"# Training Configuration: epochs=400, batch_size=16"
"# Learning Rate: 0.0001, Weight Decay: 0.00015, Alpha: 0.85, Beta: 0.15"
# Timestamp: 2026-09-20 14:17:11

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
6,3.172966480255127,2.7304746168000356,0.2204724409448819,0.9662542182227222,9.999843440845201e-05,27.6408588886261,0.0,0.0
7,3.064117670059204,2.6689166128635406,0.24184476940382452,0.96962879640045,9.999373773284145e-05,25.231447219848633,0.0,0.0
8,3.2248964309692383,2.5152506668652808,0.23397075365579303,0.9752530933633295,9.998591027026227e-05,24.689547061920166,0.0,0.0
9,2.193993091583252,2.469461956194469,0.2440944881889764,0.9730033745781778,9.997495251585021e-05,24.45480966567993,0.0,0.0
10,2.4944658279418945,2.4247511071818217,0.2508436445444319,0.9752530933633295,9.996086516275143e-05,25.123360872268677,0.0,0.0
11,2.266873598098755,2.327435679733753,0.2722159730033746,0.9797525309336333,9.994364910207872e-05,26.783808946609497,0.0,0.0
12,1.9959628582000732,2.286001325717994,0.27896512935883017,0.983127109111361,9.992330542285506e-05,26.973222970962524,0.0,0.0
13,2.3959994316101074,2.2509800770453046,0.3014623172103487,0.9808773903262092,9.989983541194477e-05,25.933019399642944,0.0,0.0
14,2.663259267807007,2.165363235133035,0.3340832395950506,0.9876265466816648,9.987324055397214e-05,29.997865438461304,0.0,0.0
15,2.6272172927856445,2.1473197968942777,0.3295838020247469,0.9865016872890888,9.984352253122745e-05,23.254687786102295,0.0,0.0
16,1.3453891277313232,2.1314549712198123,0.33858267716535434,0.9887514060742407,9.981068322356062e-05,23.855916738510132,0.0,0.0
17,1.9766769409179688,2.0379627676946774,0.36670416197975253,0.9898762654668166,9.977472470826224e-05,26.761682510375977,0.0,0.0
18,2.662404775619507,2.04939593108637,0.3734533183352081,0.983127109111361,9.973564925993224e-05,25.423460721969604,0.0,0.0
19,1.9284980297088623,2.087119256279298,0.35995500562429694,0.968503937007874,9.969345935033594e-05,23.0482177734375,0.0,0.0
20,2.322092294692993,1.9399578182825021,0.3948256467941507,0.9876265466816648,9.964815764824769e-05,22.427438259124756,0.0,0.0
21,0.977255642414093,1.955607815512589,0.3847019122609674,0.9865016872890888,9.959974701928215e-05,29.975983142852783,0.0,0.0
22,1.700762152671814,1.9954670646360941,0.3925759280089989,0.9887514060742407,9.954823052571286e-05,27.445051193237305,0.0,0.0
23,1.6743429899215698,1.9870531266289098,0.38357705286839144,0.984251968503937,9.949361142627874e-05,26.557868003845215,0.0,0.0
24,1.17489492893219,1.9056448489427567,0.4150731158605174,0.9887514060742407,9.943589317597776e-05,22.13614535331726,0.0,0.0
25,1.3641232252120972,1.8457690770072597,0.42407199100112486,0.9898762654668166,9.93750794258485e-05,21.616023778915405,0.0,0.0
26,1.9777610301971436,1.9262734867100204,0.4026996625421822,0.9876265466816648,9.93111740227392e-05,21.846333265304565,0.0,0.0
27,2.1987340450286865,1.9219774869935853,0.42744656917885265,0.9786276715410573,9.924418100906433e-05,22.076836109161377,0.0,0.0
28,1.039515733718872,1.88359363589968,0.4094488188976378,0.984251968503937,9.917410462254898e-05,22.007375478744507,0.0,0.0
29,1.1848986148834229,1.8774037810840778,0.40832395950506184,0.9910011248593926,9.91009492959608e-05,21.853461742401123,0.0,0.0
