gloss_id,label,cat_id,category
0,ONE,0,NUMBER
1,TWO,0,NUMBER
2,THREE,0,NUMBER
3,FOUR,0,NUMBER
4,FIVE,0,NUMBER
5,SIX,0,NUMBER
6,SEVEN,0,NUMBER
7,EIGHT,0,NUMBER
8,NINE,0,NUMBER
9,TEN,0,NUMBER
10,ELEVEN,0,NUMBER
11,TWELVE,0,NUMBER
12,THIRTEEN,0,NUMBER
13,FOURTEEN,0,NUMBER
14,FIFTEEN,0,NUMBER
15,SIXTEEN,0,NUMBER
16,SEVENTEEN,0,NUMBER
17,EIGHTEEN,0,NUMBER
18,NINETEEN,0,NUMBER
19,TWENTY,0,NUMBER
20,TWENTY_ONE,0,NUMBER
21,TWENTY_TWO,0,NUMBER
22,TWENTY_THREE,0,NUMBER
23,TWENTY_FOUR,0,NUMBER
24,TWENTY_FIVE,0,NUMBER
25,TWENTY_SIX,0,NUMBER
26,TWENTY_SEVEN,0,NUMBER
27,TWENTY_EIGHT,0,NUMBER
28,TWENTY_NINE,0,NUMBER
29,THIRTY,0,NUMBER
30,THIRTY_ONE,0,NUMBER
31,THIRTY_TWO,0,NUMBER
32,THIRTY_THREE,0,NUMBER
33,THIRTY_FOUR,0,NUMBER
34,THIRTY_FIVE,0,NUMBER
35,THIRTY_SIX,0,NUMBER
36,THIRTY_SEVEN,0,NUMBER
37,THIRTY_EIGHT,0,NUMBER
38,THIRTY_NINE,0,NUMBER
39,FORTY,0,NUMBER
40,FORTY_ONE,0,NUMBER
41,FORTY_TWO,0,NUMBER
42,FORTY_THREE,0,NUMBER
43,FORTY_FOUR,0,NUMBER
44,FORTY_FIVE,0,NUMBER
45,FORTY_SIX,0,NUMBER
46,FORTY_SEVEN,0,NUMBER
47,FORTY_EIGHT,0,NUMBER
48,FORTY_NINE,0,NUMBER
49,FIFTY,0,NUMBER
50,FIFTY_ONE,0,NUMBER
51,FIFTY_TWO,0,NUMBER
52,FIFTY_THREE,0,NUMBER
53,FIFTY_FOUR,0,NUMBER
54,FIFTY_FIVE,0,NUMBER
55,FIFTY_SIX,0,NUMBER
56,FIFTY_SEVEN,0,NUMBER
57,FIFTY_EIGHT,0,NUMBER
58,FIFTY_NINE,0,NUMBER
59,SIXTY,0,NUMBER
60,SIXTY_ONE,0,NUMBER
61,SIXTY_TWO,0,NUMBER
62,SIXTY_THREE,0,NUMBER
63,SIXTY_FOUR,0,NUMBER
64,SIXTY_FIVE,0,NUMBER
65,SIXTY_SIX,0,NUMBER
66,SIXTY_SEVEN,0,NUMBER
67,SIXTY_EIGHT,0,NUMBER
68,SIXTY_NINE,0,NUMBER
69,SEVENTY,0,NUMBER
70,SEVENTY_ONE,0,NUMBER
71,SEVENTY_TWO,0,NUMBER
72,SEVENTY_THREE,0,NUMBER
73,SEVENTY_FOUR,0,NUMBER
74,SEVENTY_FIVE,0,NUMBER
75,SEVENTY_SIX,0,NUMBER
76,SEVENTY_SEVEN,0,NUMBER
77,SEVENTY_EIGHT,0,NUMBER
78,SEVENTY_NINE,0,NUMBER
79,EIGHTY,0,NUMBER
80,EIGHTY_ONE,0,NUMBER
81,EIGHTY_TWO,0,NUMBER
82,EIGHTY_THREE,0,NUMBER
83,EIGHTY_FOUR,0,NUMBER
84,EIGHTY_FIVE,0,NUMBER
85,EIGHTY_SIX,0,NUMBER
86,EIGHTY_SEVEN,0,NUMBER
87,EIGHTY_EIGHT,0,NUMBER
88,EIGHTY_NINE,0,NUMBER
89,NINETY,0,NUMBER
90,NINETY_ONE,0,NUMBER
91,NINETY_TWO,0,NUMBER
92,NINETY_THREE,0,NUMBER
93,NINETY_FOUR,0,NUMBER
94,NINETY_FIVE,0,NUMBER
95,NINETY_SIX,0,NUMBER
96,NINETY_SEVEN,0,NUMBER
97,NINETY_EIGHT,0,NUMBER
98,NINETY_NINE,0,NUMBER
99,ONE_HUNDRED,0,NUMBER
100,TWO_HUNDRED,0,NUMBER
101,THREE_HUNDRED,0,NUMBER
102,FOUR_HUNDRED,0,NUMBER
103,FIVE_HUNDRED,0,NUMBER
104,SIX_HUNDRED,0,NUMBER
105,SEVEN_HUNDRED,0,NUMBER
106,EIGHT_HUNDRED,0,NUMBER
107,NINE_HUNDRED,0,NUMBER
108,ONE_THOUSAND,0,NUMBER
109,TWO_THOUSAND,0,NUMBER
110,THREE_THOUSAND,0,NUMBER
111,FOUR_THOUSAND,0,NUMBER
112,FIVE_THOUSAND,0,NUMBER
113,ONE_MILLION,0,NUMBER
114,ONE_BILLION,0,NUMBER
115,ONE_TRILLION,0,NUMBER
116,LETTER_A,1,ALPHABET
117,LETTER_B,1,ALPHABET
118,LETTER_C,1,ALPHABET
119,LETTER_D,1,ALPHABET
120,LETTER_E,1,ALPHABET
121,LETTER_F,1,ALPHABET
122,LETTER_G,1,ALPHABET
123,LETTER_H,1,ALPHABET
124,LETTER_I,1,ALPHABET
125,LETTER_J,1,ALPHABET
126,LETTER_K,1,ALPHABET
127,LETTER_L,1,ALPHABET
128,LETTER_M,1,ALPHABET
129,LETTER_N,1,ALPHABET
130,LETTER_O,1,ALPHABET
131,LETTER_P,1,ALPHABET
132,LETTER_Q,1,ALPHABET
133,LETTER_R,1,ALPHABET
134,LETTER_S,1,ALPHABET
135,LETTER_T,1,ALPHABET
136,LETTER_U,1,ALPHABET
137,LETTER_V,1,ALPHABET
138,LETTER_W,1,ALPHABET
139,LETTER_X,1,ALPHABET
140,LETTER_Y,1,ALPHABET
141,LETTER_Z,1,ALPHABET
